"CODUSU";"TRIM";"ANO4";"AGLOMERADO";"NRO_HOGAR";"PROVINCIA";"ITF";"IPCF";"REALIZADA";"PONDIH";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4";"PONDERA"
"TQRMNOPSTHLOKOCDEHPJB00811649";3;2023;29;1;90;595000;148750;1;384;5;4;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;1;"";5;1;"";2;1;1;1;"";1;1;1;1;2;1;2;2;3;4;0;0;0;330
"TQRMNORSUHLOKOCDEHPJB00811626";3;2023;29;1;90;180000;90000;1;553;4;1;2;0;1;1;1;2;0;2;0;1;"";1;"";1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1;"";4;1;"";2;1;1;1;"";1;1;1;1;1;2;2;2;0;1;0;0;0;486
"TQRMNORSTHLOKOCDEHPJB00806486";3;2023;29;1;90;360000;360000;1;304;5;1;2;0;1;1;2;2;0;2;0;6;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;1;"";5;1;"";4;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;296
"TQRMNOTURHLOKOCDEHPJB00806595";3;2023;29;1;90;180000;60000;1;405;3;2;2;0;1;1;1;2;0;2;0;6;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;3;0;3;1;"";3;1;"";2;1;1;1;"";1;1;1;1;2;2;2;1;2;3;0;0;0;421
"TQRMNOPSQHLOKOCDEHPJB00806594";3;2023;29;1;90;220000;55000;1;533;2;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;4;1;3;2;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;3;0;98;0;0;0;465
"TQRMNOTSRHLOKOCDEHPJB00806570";3;2023;29;1;90;585000;83571,43;1;561;3;2;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;7;2;5;2;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;0;98;0;0;0;480
"TQRMNORTRHLOKOCDEHPJB00806487";3;2023;29;1;90;375000;125000;1;567;4;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;1;"";4;1;"";2;1;1;1;"";1;1;1;1;2;2;2;2;0;3;0;0;0;473
"TQRMNOQYYHMOKSCDEHPJB00811500";3;2023;29;1;90;400000;200000;1;379;4;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;2;0;2;1;"";4;1;"";4;1;1;1;"";1;1;1;1;1;2;2;1;0;2;0;0;0;352
"TQRMNOTQWHMOKSCDEHPJB00811513";3;2023;29;1;90;77000;25666,67;1;354;2;2;2;0;1;2;2;2;0;2;0;4;"";1;"";1;1;2;2;2;2;2;1;1;2;2;2;2;2;2;1;1;2;2;2;2;2;2;3;0;3;1;"";2;1;"";4;2;1;1;"";1;1;1;1;1;2;2;2;0;2;0;0;0;335
"TQRMNOTQXHMOKSCDEHPJB00811655";3;2023;29;1;90;280000;93333,33;1;427;3;2;1;1;1;1;1;2;0;2;0;4;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;0;3;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;1;0;2;3;0;0;380
"TQRMNOQYXHMOKSCDEHPJB00811650";3;2023;29;1;90;580000;145000;1;465;5;2;2;0;1;1;1;2;0;2;0;6;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;4;2;2;1;"";5;1;"";4;1;1;1;"";1;1;1;1;2;2;2;1;2;98;0;0;0;413
"TQRMNOTQVHMOKSCDEHPJB00811590";3;2023;29;2;90;107000;21400;1;486;1;1;2;0;1;2;2;2;0;2;0;4;"";1;"";3;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;2;2;1;2;2;2;5;3;2;1;"";4;2;"";4;2;1;1;"";1;1;1;1;1;1;2;1;0;2;0;0;0;460
"TQRMNOTQVHMOKSCDEHPJB00811590";3;2023;29;1;90;116000;29000;1;486;3;3;2;0;1;2;2;2;0;2;0;2;"";1;"";2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;1;"";4;2;"";4;2;1;1;"";1;1;1;1;1;1;2;1;2;3;4;0;0;438
"TQRMNORPWHMOKSCDEHPJB00811501";3;2023;29;1;90;160000;53333,33;1;366;4;3;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;0;3;1;"";4;1;"";4;2;1;1;"";1;1;1;1;1;2;2;2;0;3;0;0;0;335
"TQRMNORPPHMOKSCDEHPJB00811492";3;2023;29;1;90;0;0;1;0;7;3;1;1;1;1;1;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;5;0;5;1;"";7;1;"";5;2;1;1;"";1;1;1;1;1;2;2;2;0;1;3;5;0;424
"TQRMNOTQYHMOKSCDEHPJB00811608";3;2023;29;1;90;272000;54400;1;446;4;3;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;1;2;2;1;2;2;1;2;1;2;2;2;2;2;2;2;5;1;4;1;"";4;1;"";4;1;1;1;"";1;1;1;1;2;2;2;1;0;2;3;0;0;419
"TQRMNOSUVHMNKTCDEHPJB00811503";3;2023;29;1;90;195000;195000;1;551;3;1;2;0;1;1;1;2;0;2;0;1;"";1;"";1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;"";3;1;"";1;2;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;468
"TQRMNOSUWHMNKTCDEHPJB00811615";3;2023;29;1;90;215000;71666,67;1;443;2;2;2;0;1;2;1;2;0;2;0;6;"";1;"";1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;1;"";2;1;"";4;2;1;1;"";1;1;1;1;2;1;2;1;2;3;0;0;0;409
"TQRMNOSUXHMNKTCDEHPJB00811522";3;2023;29;1;90;0;0;1;0;3;3;2;0;1;1;1;2;0;2;0;6;"";2;"";1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;6;1;5;1;"";3;1;"";4;2;1;1;"";1;1;1;1;2;2;2;2;1;5;0;0;0;559
